id,first_name,last_name,date,time,ints,decimals
1,Fanechka,Spracklin,2020-04-22,1:05 AM,68,8.007
2,Chas,Barmby,2020-01-13,7:15 PM,98,78.039
3,Drew,Losselyong,2020-05-13,11:08 AM,44,63.834
4,Lissy,Lownds,2019-08-21,4:51 PM,81,91.437
5,Farlay,Fish,2019-11-16,11:33 AM,6,39.099
6,Leann,Dahl,2020-03-19,3:32 PM,10,80.721
7,Katinka,Esposita,2019-09-15,5:18 PM,41,43.716
8,Trista,Furze,2019-10-11,2:47 PM,84,78.989
9,Purcell,Langforth,2019-09-06,3:15 AM,94,94.945
10,Dagny,Storm,2020-04-18,11:44 PM,61,62.864
11,Ericha,Axtens,2020-02-05,4:33 PM,89,53.523
12,Holden,Deedes,2020-07-22,7:59 PM,84,29.63
13,Parnell,Tythe,2020-05-20,9:35 AM,28,62.286
14,Wolfie,Aldrich,2019-11-03,8:50 AM,37,47.822
15,Isabel,Farge,2020-05-30,3:34 PM,81,33.095
16,Base,Kuhndel,2019-11-27,8:35 PM,45,48.418
17,Rorie,Wardroper,2020-06-13,10:23 AM,42,13.226
18,Dicky,Pentycost,2020-01-18,3:21 AM,94,90.671
19,Padget,Stanton,2020-04-25,6:21 AM,12,4.672
20,Smitty,MacGowan,2020-03-28,2:38 PM,61,60.579
21,Elle,Arnowitz,2020-08-09,9:21 PM,33,2.776
22,Cara,Birtles,2020-05-25,2:34 PM,63,56.372
23,Lelah,Casarili,2019-12-20,10:10 PM,79,46.201
24,Cal,Ollington,2020-06-27,2:37 PM,25,32.459
25,Shandy,Bouzan,2019-11-11,9:37 PM,79,25.226
26,Cosetta,Stolte,2020-02-23,5:47 AM,72,67.134
27,Kathe,Lecky,2020-03-27,5:17 AM,49,46.388
28,Adelbert,McCandie,2019-09-10,2:46 AM,37,82.511
29,Pegeen,Dowbekin,2020-06-19,4:51 PM,76,38.951
30,Robina,Gerritzen,2020-05-18,1:57 PM,5,25.627
31,Melosa,Toping,2020-05-09,3:56 PM,100,23.389
32,Will,Ison,2019-11-17,2:12 PM,49,41.614
33,Emmalynne,Gascar,2019-11-12,3:41 AM,90,64.859
34,Cherilynn,Wellbeloved,2020-03-15,7:22 PM,4,7.609
35,Kanya,Whitfeld,2019-12-23,2:30 AM,3,65.97
